MTB,2018-04-23T16:00:00,2018-10-11T16:00:00
MU,2017-12-22T16:00:00,2018-06-18T16:00:00
SPG,2018-05-03T16:00:00,2018-10-23T16:00:00
HBAN,2018-04-30T16:00:00,2018-10-18T16:00:00
LW,2017-10-09T16:00:00,2018-04-03T16:00:00
MNST,2018-05-14T16:00:00,2018-11-01T16:00:00
TFX,2018-05-08T16:00:00,2018-10-26T16:00:00
AWK,2018-05-07T16:00:00,2018-10-25T16:00:00
TAP,2018-05-07T16:00:00,2018-10-25T16:00:00
ORCL,2017-09-20T16:00:00,2018-03-14T16:00:00
AAL,2018-05-01T16:00:00,2018-10-19T16:00:00
SWKS,2018-02-06T16:00:00,2018-07-30T16:00:00
JWN,2017-05-16T16:00:00,2017-11-03T16:00:00
NOC,2018-04-30T16:00:00,2018-10-18T16:00:00
HSIC,2018-05-10T16:00:00,2018-10-30T16:00:00
ZBH,2018-05-02T16:00:00,2018-10-22T16:00:00
WY,2018-05-02T16:00:00,2018-10-22T16:00:00
JCI,2018-02-02T16:00:00,2018-07-26T16:00:00
FLT,2018-05-08T16:00:00,2018-10-26T16:00:00
CELG,2018-05-01T16:00:00,2018-10-19T16:00:00
ANTM,2018-04-30T16:00:00,2018-10-18T16:00:00
CB,2018-04-27T16:00:00,2018-10-17T16:00:00
LEG,2018-05-01T16:00:00,2018-10-19T16:00:00
STT,2018-04-25T16:00:00,2018-10-15T16:00:00
RF,2018-04-25T16:00:00,2018-10-15T16:00:00
PRGO,2018-05-15T16:00:00,2018-11-02T16:00:00
NEE,2018-04-30T16:00:00,2018-10-18T16:00:00
GM,2018-04-30T16:00:00,2018-10-18T16:00:00
