TPR,2018/2/6,1.07,0.88,21.6,2017-11-08T16:00:00,2018-05-03T16:00:00
TTWO,2017/11/7,1.09,0.742,47.1,2017-08-14T16:00:00,2018-02-05T16:00:00
TXT,2018/7/18,0.87,0.698,24.8,2018-04-23T16:00:00,2018-10-11T16:00:00
URI,2018/7/18,3.85,3.441,11.9,2018-04-23T16:00:00,2018-10-11T16:00:00
V,2018/4/25,1.11,1.017,9.1,2018-01-29T16:00:00,2018-07-20T16:00:00
VAR,2018/4/25,1.15,1.036,11,2018-01-29T16:00:00,2018-07-20T16:00:00
VIAB,2018/4/25,0.92,0.791,16.3,2018-01-29T16:00:00,2018-07-20T16:00:00
VLO,2018/7/26,2.15,1.976,8.8,2018-05-01T16:00:00,2018-10-19T16:00:00
VRTX,2018/7/25,0.94,0.752,25,2018-04-30T16:00:00,2018-10-18T16:00:00
VTR,2018/7/27,1.08,1.002,7.8,2018-05-02T16:00:00,2018-10-22T16:00:00
WBA,2018/3/28,1.73,1.557,11.1,2017-12-29T16:00:00,2018-06-22T16:00:00
WCG,2018/7/31,3.69,3.035,21.6,2018-05-04T16:00:00,2018-10-24T16:00:00
WEC,2018/7/31,0.73,0.672,8.5,2018-05-04T16:00:00,2018-10-24T16:00:00
XEL,2018/7/26,0.52,0.472,10.1,2018-05-01T16:00:00,2018-10-19T16:00:00
YUM,2018/8/2,0.82,0.744,10.2,2018-05-08T16:00:00,2018-10-26T16:00:00
ZTS,2018/8/2,0.77,0.702,9.7,2018-05-08T16:00:00,2018-10-26T16:00:00
